Job_Title,Company,Job_Type,Job_place,City,Country,Days
Senior Performance Marketing Specialist,WUZZUF -,Full Time,Unknown,Cairo,Egypt,Unknown
Senior MLOps Engineer,Inception -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Java Developer (+2 years experience),3D Diagnostix -,Full Time,Unknown,Cairo,Egypt,Unknown
Wordpress/PHP Web Developer,Confidential -,Full Time,Unknown,Giza,Egypt,Unknown
TeleSales Representative,Quanvex -,Full Time,Unknown,Giza,Egypt,Unknown
Senior Data Center Ethernet Network Engineer,NVIDIA -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Junior Linux Kernel Engineer - Ubuntu,Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
Cloud Field Engineering Manager,Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
Senior Software Engineer - packaging - optimize Ubuntu Server,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Junior Backend Developer (React.js / Node.js),Confidential -,Full Time,Unknown,Cairo,Egypt,Unknown
Open edX Platform Manager/ Site Administrator- English Speaker,Thaka International -,Full Time,Unknown,Cairo,Egypt,Unknown
Odoo Presales Consultant,OdooTec -,Full Time,Unknown,Cairo,Egypt,Unknown
Annotation Specialist,Abwab.ai -,Full Time,Unknown,Cairo,Egypt,Unknown
Software-Defined Networking Engineer,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"Software Engineering Manager, Ubuntu Gaming",Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Security Engineer - Ubuntu,Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
UI/UX Designer,ABS.AI -,Full Time,Unknown,Cairo,Egypt,Unknown
IOS Mobile Developer,Billqode -,Full Time,Unknown,Cairo,Egypt,Unknown
"Salesforce Engineering Manager, Commercial Systems",Canonical -,Full Time,Unknown,Makkah,Saudi Arabia,Unknown
Systems Integrations Engineering Manager,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Project Management Consultant | Digital Transformation,Confidential -,Full Time,Unknown,Muscat,Oman,Unknown
Senior Flutter Developer - Part-time,Codestien -,Full Time,Unknown,Giza,Egypt,Unknown
Senior Front End Developer,Billqode -,Full Time,Unknown,Cairo,Egypt,Unknown
Smart Facilities Operations Manager,Silicon21 -,Full Time,Unknown,Cairo,Egypt,Unknown
IT Supervisor,Safety Point  -,Full Time,Unknown,Cairo,Egypt,Unknown
Product Designer,AI71 -,Part Time,Unknown,Dubai,United Arab Emirates,Unknown
Onboarding Product Director,Rapyd -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Chatbot Developer,MOBILY INFOTECH LTD INDIA -,Full Time,Unknown,Cairo,Egypt,Unknown
Principal (Director) Data Science Consultant Practice Lead,EPAM Systems -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"Director, Product Management",EPAM Systems -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Cybersecurity Manager,Inception -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Data Science Intern,Mozn -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Quality Assurance (QA) Specialist,Confidential -,Full Time,Unknown,Cairo,Egypt,Unknown
Senior Developer (Full Stack),CPX -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
Product Manager,Canonical -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
Sales Development Analyst,Mozn -,Full Time,Unknown,Riyadh,Saudi Arabia,Unknown
"Principal Product Manager, Trilogy (Remote) - $200,000/year USD",Trilogy -,Full Time,Unknown,Dubai,United Arab Emirates,Unknown
